"Read message","Read message"
"Order Notes (%1)","Order Notes (%1)"
"Order Notes","Order Notes"
"Your Note","Your Note"
"Order Note","Order Note"
Items,Items
"Added: %1","Added: %1"
Edit,Edit
"Show To Customer","Show To Customer"
"Notify Customer by Email","Notify Customer by Email"
Delete,Delete
"New Note","New Note"
"Email Note To Customer","Email Note To Customer"
"Save Changes","Save Changes"
"Submit","Submit"
"List is empty","List is empty"
"[Order Notes] Customer added new note to order","[Order Notes] Customer added new note to order"
"has added new note to order","has added new note to order"
"New note has been added to your order","New note has been added to your order"
"New note has been added to your to order","New note has been added to your to order"
"You may view note or reply at order view page in your account","You may view note or reply at order view page in your account"
"Do you want to mark this note as read?","Do you want to mark this note as read?"
"Yes","Yes"
"No message","No message"
"There is no new message","There is no new message"
"New Message","New Message"
"Mark as read","Mark as read"
"You marked this note as read.","You marked this note as read."
"Something went wrong while saving the note.","Something went wrong while saving the note."
"Notify Customer by Email","Notify Customer by Email"
"Visible on Storefront","Visible on Storefront"
"Show More Notes","Show More Notes"
"Show Less Notes","Show Less Notes"
"Add Note","Add Note"
"Leave a Note","Leave a Note"
